"","Degree","Centrality","Closeness","Betweenness","Nodo.aislado","Estar.NCG"
"AKR1C1",5,0.0173098805680149,0.0492721164613662,157,0,0
"SNAI2",64,0.828589302471789,0.050911194677466,592,0,0
"C15orf48",27,0.241568995610954,0.0501567398119122,0,0,1
"PXDN",21,0.247873955479703,0.0498301245753114,0,0,1
"PLK2",68,0.908686045196368,0.0510737086477075,0,0,0
"SERPINB2",12,0.165698769777674,0.0498019241652518,0,0,0
"IFI16",9,0.0169802755528052,0.0489977728285078,157,0,0
"NMU",13,0.0642382517108283,0.0493273542600897,0,0,0
"C10orf116",26,0.168620497066359,0.0500996299459152,0,0,0
"VCAN",33,0.394430646623513,0.0503864872602348,0,0,1
"DKK3",77,0.942656688784382,0.0511479221156641,285,0,0
"TWIST1",19,0.196901330228063,0.0500426499857833,0,0,0
"BEX1",6,0.0259693738401505,0.0496473906911142,153,0,0
"ARHGAP29",63,0.826382524805866,0.0509849362688297,0,0,0
"C3orf14",0,0,0.00564971751412429,0,1,0
"IFITM1",1,0.00112761911260911,0.0472991131416286,0,0,0
"TMSB15A",7,0.0295343788489239,0.0496333897349126,3,0,0
"TSTD1",20,0.114297162969452,0.0500996299459152,0,0,0
"LXN",0,0,0.00564971751412429,0,1,0
"PRSS23",72,0.952521060741128,0.0511182108626198,0,0,0
"NTN4",60,0.810433315530573,0.0509259259259259,0,0,1
"FOXQ1",44,0.247871798874211,0.0504009163802978,374,0,1
"NGFRAP1",22,0.293980999985788,0.0499149177538287,138,0,0
"EREG",18,0.184862456235724,0.0499716070414537,0,0,0
"CD9",46,0.501115796259294,0.0507058484586575,0,0,0
"MYL9",39,0.524792849585553,0.050328853302831,0,0,0
"RAB34",38,0.557231364000667,0.0503000857387825,0,0,0
"GALNT3",33,0.159096787587993,0.0502569960022844,0,0,0
"GDA",21,0.114073865707315,0.0496613995485327,0,0,0
"PLAU",49,0.659003177349783,0.0507058484586575,157,0,0
"LOXL1",40,0.507735390667213,0.0503576537911302,0,0,0
"PLOD2",63,0.859778506331403,0.0509554140127389,0,0,0
"EMP3",30,0.205086417743759,0.0505166475315729,0,0,0
"TAGLN",37,0.483962807282002,0.0502857142857143,0,0,0
"IGFBP6",65,0.903742379356394,0.0509406657018813,54,0,0
"TUBB2B",2,0.00101962104234169,0.0476319350473613,0,0,0
"CA2",0,0,0.00564971751412429,0,1,0
"LCP1",21,0.270407806271182,0.05,0,0,1
"CRIP1",0,0,0.00564971751412429,0,1,0
"CNRIP1",40,0.261305089861019,0.0506329113924051,159,0,0
"IL13RA2",9,0.118112263814396,0.0496473906911142,0,0,0
"HCLS1",29,0.340351225618397,0.0502569960022844,308,0,0
"VEGFC",72,0.903614126615119,0.0510737086477075,321,0,0
"GPNMB",2,0.0195222768964509,0.0488753124132186,0,0,0
"TMEM200A",4,0.0381380307965457,0.0491620111731844,0,0,0
"LAMB3",57,0.514967436959647,0.0508376660889659,136,0,0
"FOXA1",28,0.105408824460373,0.0502713510425593,0,0,1
"F3",67,0.772428316265648,0.0511182108626198,0,0,0
"GREM1",15,0.13625363777564,0.0495495495495495,0,0,0
"CXCL2",35,0.433225139043025,0.0504009163802978,2,0,0
"NID2",19,0.21205143398687,0.049507735583685,0,0,0
"DMKN",29,0.184938275812748,0.0502857142857143,0,0,0
"RND3",72,0.921369802710966,0.0511479221156641,160,0,0
"SLPI",37,0.204225782524269,0.0504442533677271,124,0,0
"CXCR4",42,0.609207255620099,0.0505021520803443,0,0,1
"WBP5",37,0.527576710505141,0.0503720663995421,293,0,0
"FOSL1",65,0.860743240631392,0.0510440835266821,472,0,0
"ODZ2",4,0.0598203432457445,0.0491345616973758,0,0,0
"POPDC3",22,0.282965256208646,0.0500568828213879,0,0,0
"SLC40A1",0,0,0.00564971751412429,0,1,0
"MAP1B",47,0.47021108530954,0.0506183491515674,172.5,0,0
"PTGR1",62,0.802550714760688,0.0509849362688297,228,0,0
"COL4A1",61,0.810750884565224,0.0507936507936508,159,0,1
"TIMP3",21,0.2733668224011,0.0499007655231075,0,0,0
"GAL",0,0,0.00564971751412429,0,1,0
"SGCE",15,0.197388845440178,0.0496054114994363,0,0,0
"GPX8",80,1,0.0512372634643377,4441,0,0
"TRIM22",1,0.000311932894977178,0.0469458522272606,0,0,0
"DSG2",44,0.332492761853346,0.0505311513063451,0,0,0
"COL4A2",51,0.734721540902312,0.0505747126436782,0,0,1
"BCHE",0,0,0.00564971751412429,0,1,0
"RBP1",0,0,0.00564971751412429,0,1,0
"MGP",0,0,0.00564971751412429,0,1,0
"S100A4",0,0,0.00564971751412429,0,1,0
"LAMB1",67,0.900656559160554,0.0509849362688297,448,0,0
"MYB",73,0.962067558000407,0.0511330621731551,154,0,1
"GYPC",27,0.101803386796958,0.0499007655231075,0,0,0
"HTRA1",65,0.862424124713582,0.0508670520231214,0,0,1
"GPX3",0,0,0.00564971751412429,0,1,0
"TOX3",11,0.0308604934352114,0.0494104435710275,0,0,0
"FHL2",69,0.911378388604398,0.0510737086477075,0,0,0
"QPCT",0,0,0.00564971751412429,0,1,0
"SDC2",29,0.322231549188592,0.0500711237553343,0,0,0
"ASS1",5,0.0170377969609668,0.0486725663716814,0,0,0
"CLDN1",48,0.501048741025017,0.0506766484307515,0,0,0
"ARMCX2",21,0.171056717720462,0.0499432463110102,6,0,0
"G0S2",2,0.0279182100618945,0.0488888888888889,0,0,0
"CYP1B1",5,0.0803987105454116,0.0494659921304103,0,0,0
"IL8",25,0.346916914828422,0.0500284252416146,0,0,0
"CXCL1",19,0.229092765516325,0.0499007655231075,155,0,0
"NT5E",64,0.875709315982832,0.050911194677466,0,0,0
"FRMD6",70,0.919383733876344,0.0510440835266821,997,0,0
"PMP22",52,0.618669430456958,0.050764349581771,0,0,0
